BEAM_LOG:{"turn":27,"beam_width_limit":3900,"beam_width":3900,"candidates":13677,"hash_dedup":4717,"pruned":2812,"unique_parents":2495,"best":-331,"worst":-294,"mean":-301.755128,"std":6.010997,"elapsed":0.024964}
BEAM_LOG:{"turn":28,"beam_width_limit":3900,"beam_width":3900,"candidates":13696,"hash_dedup":4720,"pruned":2751,"unique_parents":2538,"best":-341,"worst":-306,"mean":-313.622051,"std":5.928871,"elapsed":0.026442}
BEAM_LOG:{"turn":29,"beam_width_limit":3900,"beam_width":3900,"candidates":13665,"hash_dedup":4672,"pruned":2772,"unique_parents":2516,"best":-354,"worst":-317,"mean":-325.447436,"std":5.915131,"elapsed":0.027945}
BEAM_LOG:{"turn":30,"beam_width_limit":3900,"beam_width":3900,"candidates":13681,"hash_dedup":4466,"pruned":2893,"unique_parents":2514,"best":-370,"worst":-329,"mean":-337.054359,"std":5.777376,"elapsed":0.030045}
BEAM_LOG:{"turn":31,"beam_width_limit":3900,"beam_width":3900,"candidates":13685,"hash_dedup":4461,"pruned":2887,"unique_parents":2522,"best":-380,"worst":-341,"mean":-348.733846,"std":5.704738,"elapsed":0.031801}
BEAM_LOG:{"turn":32,"beam_width_limit":3900,"beam_width":3900,"candidates":13563,"hash_dedup":4238,"pruned":2897,"unique_parents":2478,"best":-391,"worst":-353,"mean":-360.387179,"std":5.634813,"elapsed":0.033373}
BEAM_LOG:{"turn":33,"beam_width_limit":3900,"beam_width":3900,"candidates":13575,"hash_dedup":4186,"pruned":2959,"unique_parents":2523,"best":-402,"worst":-365,"mean":-371.846923,"std":5.552445,"elapsed":0.035056}
BEAM_LOG:{"turn":34,"beam_width_limit":3900,"beam_width":3900,"candidates":13510,"hash_dedup":4075,"pruned":2928,"unique_parents":2508,"best":-411,"worst":-376,"mean":-383.398205,"std":5.556391,"elapsed":0.036596}
BEAM_LOG:{"turn":35,"beam_width_limit":3900,"beam_width":3900,"candidates":13515,"hash_dedup":3914,"pruned":3009,"unique_parents":2487,"best":-420,"worst":-388,"mean":-395.074615,"std":5.544396,"elapsed":0.038129}
BEAM_LOG:{"turn":36,"beam_width_limit":3900,"beam_width":3900,"candidates":13585,"hash_dedup":3814,"pruned":3010,"unique_parents":2504,"best":-433,"worst":-400,"mean":-407.082821,"std":5.319636,"elapsed":0.039667}
BEAM_LOG:{"turn":37,"beam_width_limit":3900,"beam_width":3900,"candidates":13615,"hash_dedup":3687,"pruned":3065,"unique_parents":2478,"best":-441,"worst":-412,"mean":-419.122821,"std":5.192849,"elapsed":0.041252}
BEAM_LOG:{"turn":38,"beam_width_limit":3900,"beam_width":3900,"candidates":13668,"hash_dedup":3575,"pruned":3223,"unique_parents":2472,"best":-454,"worst":-424,"mean":-431.443333,"std":5.121710,"elapsed":0.042770}
BEAM_LOG:{"turn":39,"beam_width_limit":3900,"beam_width":3900,"candidates":13703,"hash_dedup":3479,"pruned":3367,"unique_parents":2513,"best":-467,"worst":-437,"mean":-443.722308,"std":5.166814,"elapsed":0.044283}
BEAM_LOG:{"turn":40,"beam_width_limit":3900,"beam_width":3900,"candidates":13740,"hash_dedup":3454,"pruned":3516,"unique_parents":2495,"best":-483,"worst":-449,"mean":-456.186923,"std":5.069636,"elapsed":0.045811}
BEAM_LOG:{"turn":41,"beam_width_limit":3900,"beam_width":3900,"candidates":13742,"hash_dedup":3445,"pruned":3454,"unique_parents":2502,"best":-495,"worst":-462,"mean":-468.575128,"std":5.099245,"elapsed":0.047304}
BEAM_LOG:{"turn":42,"beam_width_limit":3900,"beam_width":3900,"candidates":13672,"hash_dedup":3433,"pruned":3456,"unique_parents":2461,"best":-508,"worst":-474,"mean":-480.986410,"std":5.307814,"elapsed":0.048801}
BEAM_LOG:{"turn":43,"beam_width_limit":3900,"beam_width":3900,"candidates":13717,"hash_dedup":3445,"pruned":3505,"unique_parents":2473,"best":-522,"worst":-487,"mean":-493.831538,"std":5.441538,"elapsed":0.050296}
BEAM_LOG:{"turn":44,"beam_width_limit":3900,"beam_width":3900,"candidates":13630,"hash_dedup":3565,"pruned":3374,"unique_parents":2490,"best":-531,"worst":-499,"mean":-506.553846,"std":5.393293,"elapsed":0.051763}
BEAM_LOG:{"turn":45,"beam_width_limit":3900,"beam_width":3900,"candidates":13658,"hash_dedup":3617,"pruned":3381,"unique_parents":2496,"best":-545,"worst":-512,"mean":-519.373333,"std":5.414947,"elapsed":0.053236}
BEAM_LOG:{"turn":46,"beam_width_limit":3900,"beam_width":3900,"candidates":13559,"hash_dedup":3685,"pruned":3243,"unique_parents":2513,"best":-558,"worst":-525,"mean":-532.036410,"std":5.313428,"elapsed":0.054727}
BEAM_LOG:{"turn":47,"beam_width_limit":3900,"beam_width":3900,"candidates":13587,"hash_dedup":3851,"pruned":3182,"unique_parents":2500,"best":-574,"worst":-538,"mean":-544.679487,"std":5.160435,"elapsed":0.056195}
BEAM_LOG:{"turn":48,"beam_width_limit":3900,"beam_width":3900,"candidates":13561,"hash_dedup":3994,"pruned":3022,"unique_parents":2522,"best":-587,"worst":-550,"mean":-557.112564,"std":5.446608,"elapsed":0.057666}
BEAM_LOG:{"turn":49,"beam_width_limit":3900,"beam_width":3900,"candidates":13606,"hash_dedup":4080,"pruned":3029,"unique_parents":2533,"best":-597,"worst":-562,"mean":-569.700000,"std":5.498461,"elapsed":0.059123}
BEAM_LOG:{"turn":50,"beam_width_limit":3900,"beam_width":3900,"candidates":13550,"hash_dedup":3951,"pruned":3080,"unique_parents":2494,"best":-606,"worst":-575,"mean":-582.434359,"std":5.559243,"elapsed":0.060589}
BEAM_LOG:{"turn":51,"beam_width_limit":3900,"beam_width":3900,"candidates":13589,"hash_dedup":4041,"pruned":3034,"unique_parents":2464,"best":-620,"worst":-588,"mean":-595.206923,"std":5.567442,"elapsed":0.062048}
BEAM_LOG:{"turn":52,"beam_width_limit":3900,"beam_width":3900,"candidates":13583,"hash_dedup":3861,"pruned":3193,"unique_parents":2510,"best":-636,"worst":-601,"mean":-608.056667,"std":5.414569,"elapsed":0.063514}
BEAM_LOG:{"turn":53,"beam_width_limit":3900,"beam_width":3900,"candidates":13438,"hash_dedup":3747,"pruned":3202,"unique_parents":2501,"best":-644,"worst":-613,"mean":-620.763846,"std":5.442461,"elapsed":0.064982}
BEAM_LOG:{"turn":54,"beam_width_limit":3900,"beam_width":3900,"candidates":13361,"hash_dedup":3807,"pruned":3001,"unique_parents":2509,"best":-662,"worst":-626,"mean":-633.661538,"std":5.524380,"elapsed":0.066417}
BEAM_LOG:{"turn":55,"beam_width_limit":3900,"beam_width":3900,"candidates":13368,"hash_dedup":3724,"pruned":3082,"unique_parents":2519,"best":-675,"worst":-639,"mean":-646.512308,"std":5.535443,"elapsed":0.067855}
BEAM_LOG:{"turn":56,"beam_width_limit":3900,"beam_width":3900,"candidates":13355,"hash_dedup":3689,"pruned":3053,"unique_parents":2472,"best":-686,"worst":-652,"mean":-659.551282,"std":5.514334,"elapsed":0.069310}
BEAM_LOG:{"turn":57,"beam_width_limit":3900,"beam_width":3900,"candidates":13234,"hash_dedup":3676,"pruned":2992,"unique_parents":2527,"best":-698,"worst":-665,"mean":-672.162564,"std":5.581722,"elapsed":0.070743}
BEAM_LOG:{"turn":58,"beam_width_limit":3900,"beam_width":3900,"candidates":13267,"hash_dedup":3692,"pruned":3045,"unique_parents":2548,"best":-714,"worst":-677,"mean":-684.975385,"std":5.518353,"elapsed":0.072183}
BEAM_LOG:{"turn":59,"beam_width_limit":3900,"beam_width":3900,"candidates":13210,"hash_dedup":3668,"pruned":2963,"unique_parents":2552,"best":-724,"worst":-690,"mean":-697.420769,"std":5.462425,"elapsed":0.073642}
BEAM_LOG:{"turn":60,"beam_width_limit":3900,"beam_width":3900,"candidates":13296,"hash_dedup":3744,"pruned":2925,"unique_parents":2546,"best":-740,"worst":-703,"mean":-709.907179,"std":5.371874,"elapsed":0.075117}
BEAM_LOG:{"turn":61,"beam_width_limit":3900,"beam_width":3900,"candidates":13230,"hash_dedup":3694,"pruned":2903,"unique_parents":2549,"best":-747,"worst":-715,"mean":-721.914103,"std":5.320840,"elapsed":0.076612}
BEAM_LOG:{"turn":62,"beam_width_limit":3900,"beam_width":3900,"candidates":13251,"hash_dedup":3675,"pruned":2918,"unique_parents":2525,"best":-760,"worst":-727,"mean":-734.144615,"std":5.449640,"elapsed":0.078128}
BEAM_LOG:{"turn":63,"beam_width_limit":3900,"beam_width":3900,"candidates":13265,"hash_dedup":3687,"pruned":2873,"unique_parents":2498,"best":-773,"worst":-739,"mean":-746.433590,"std":5.429355,"elapsed":0.079627}
BEAM_LOG:{"turn":64,"beam_width_limit":3900,"beam_width":3900,"candidates":13194,"hash_dedup":3676,"pruned":2815,"unique_parents":2495,"best":-784,"worst":-751,"mean":-758.597179,"std":5.513158,"elapsed":0.081127}
BEAM_LOG:{"turn":65,"beam_width_limit":3900,"beam_width":3900,"candidates":13216,"hash_dedup":3621,"pruned":2878,"unique_parents":2502,"best":-798,"worst":-764,"mean":-770.907436,"std":5.595547,"elapsed":0.082627}
BEAM_LOG:{"turn":66,"beam_width_limit":3900,"beam_width":3900,"candidates":13142,"hash_dedup":3622,"pruned":2936,"unique_parents":2467,"best":-808,"worst":-776,"mean":-783.193077,"std":5.750086,"elapsed":0.084113}
BEAM_LOG:{"turn":67,"beam_width_limit":3900,"beam_width":3900,"candidates":13247,"hash_dedup":3669,"pruned":2985,"unique_parents":2461,"best":-821,"worst":-788,"mean":-795.725385,"std":5.757646,"elapsed":0.085607}
BEAM_LOG:{"turn":68,"beam_width_limit":3900,"beam_width":3900,"candidates":13108,"hash_dedup":3683,"pruned":2846,"unique_parents":2480,"best":-831,"worst":-800,"mean":-808.071282,"std":5.808353,"elapsed":0.087090}
BEAM_LOG:{"turn":69,"beam_width_limit":3900,"beam_width":3900,"candidates":13035,"hash_dedup":3781,"pruned":2767,"unique_parents":2514,"best":-846,"worst":-812,"mean":-820.255385,"std":5.822142,"elapsed":0.088569}
BEAM_LOG:{"turn":70,"beam_width_limit":3900,"beam_width":3900,"candidates":12989,"hash_dedup":3881,"pruned":2655,"unique_parents":2461,"best":-856,"worst":-825,"mean":-832.451282,"std":5.980604,"elapsed":0.090040}
BEAM_LOG:{"turn":71,"beam_width_limit":3900,"beam_width":3900,"candidates":12856,"hash_dedup":3857,"pruned":2476,"unique_parents":2499,"best":-868,"worst":-836,"mean":-844.411026,"std":5.960342,"elapsed":0.091501}
BEAM_LOG:{"turn":72,"beam_width_limit":3900,"beam_width":3900,"candidates":12852,"hash_dedup":3805,"pruned":2452,"unique_parents":2489,"best":-881,"worst":-848,"mean":-856.395897,"std":5.880231,"elapsed":0.092996}
BEAM_LOG:{"turn":73,"beam_width_limit":3900,"beam_width":3900,"candidates":12806,"hash_dedup":3640,"pruned":2536,"unique_parents":2511,"best":-896,"worst":-860,"mean":-868.171795,"std":5.860185,"elapsed":0.094486}
BEAM_LOG:{"turn":74,"beam_width_limit":3900,"beam_width":3900,"candidates":12764,"hash_dedup":3640,"pruned":2525,"unique_parents":2499,"best":-906,"worst":-872,"mean":-880.121026,"std":5.757735,"elapsed":0.095964}
BEAM_LOG:{"turn":75,"beam_width_limit":3900,"beam_width":3900,"candidates":12824,"hash_dedup":3604,"pruned":2681,"unique_parents":2527,"best":-919,"worst":-884,"mean":-891.965128,"std":5.812525,"elapsed":0.097445}
BEAM_LOG:{"turn":76,"beam_width_limit":3900,"beam_width":3900,"candidates":12865,"hash_dedup":3610,"pruned":2708,"unique_parents":2487,"best":-930,"worst":-896,"mean":-903.891795,"std":5.658176,"elapsed":0.098926}
BEAM_LOG:{"turn":77,"beam_width_limit":3900,"beam_width":3900,"candidates":12951,"hash_dedup":3651,"pruned":2743,"unique_parents":2499,"best":-943,"worst":-908,"mean":-915.792564,"std":5.672271,"elapsed":0.100422}
BEAM_LOG:{"turn":78,"beam_width_limit":3900,"beam_width":3900,"candidates":13067,"hash_dedup":3496,"pruned":2891,"unique_parents":2494,"best":-958,"worst":-920,"mean":-927.799487,"std":5.598058,"elapsed":0.101916}
BEAM_LOG:{"turn":79,"beam_width_limit":3900,"beam_width":3900,"candidates":12913,"hash_dedup":3538,"pruned":2697,"unique_parents":2525,"best":-974,"worst":-932,"mean":-939.470000,"std":5.843197,"elapsed":0.103415}
BEAM_LOG:{"turn":80,"beam_width_limit":3900,"beam_width":3900,"candidates":13022,"hash_dedup":3434,"pruned":2791,"unique_parents":2520,"best":-981,"worst":-944,"mean":-951.383590,"std":5.892415,"elapsed":0.104946}
BEAM_LOG:{"turn":81,"beam_width_limit":3900,"beam_width":3900,"candidates":12869,"hash_dedup":3418,"pruned":2731,"unique_parents":2502,"best":-992,"worst":-955,"mean":-963.155128,"std":6.020332,"elapsed":0.106450}
BEAM_LOG:{"turn":82,"beam_width_limit":3900,"beam_width":3900,"candidates":12970,"hash_dedup":3381,"pruned":2765,"unique_parents":2525,"best":-1003,"worst":-967,"mean":-975.011282,"std":6.057365,"elapsed":0.107973}
BEAM_LOG:{"turn":83,"beam_width_limit":3900,"beam_width":3900,"candidates":12838,"hash_dedup":3408,"pruned":2755,"unique_parents":2498,"best":-1014,"worst":-979,"mean":-986.722821,"std":6.109962,"elapsed":0.109485}
BEAM_LOG:{"turn":84,"beam_width_limit":3900,"beam_width":3900,"candidates":12884,"hash_dedup":3444,"pruned":2824,"unique_parents":2511,"best":-1026,"worst":-991,"mean":-998.628205,"std":6.153275,"elapsed":0.110984}
BEAM_LOG:{"turn":85,"beam_width_limit":3900,"beam_width":3900,"candidates":12897,"hash_dedup":3525,"pruned":2827,"unique_parents":2482,"best":-1036,"worst":-1003,"mean":-1010.305385,"std":6.128899,"elapsed":0.112491}
BEAM_LOG:{"turn":86,"beam_width_limit":3900,"beam_width":3900,"candidates":12842,"hash_dedup":3591,"pruned":2748,"unique_parents":2496,"best":-1050,"worst":-1014,"mean":-1021.767436,"std":6.129752,"elapsed":0.113969}
BEAM_LOG:{"turn":87,"beam_width_limit":3900,"beam_width":3900,"candidates":12846,"hash_dedup":3513,"pruned":2883,"unique_parents":2500,"best":-1065,"worst":-1026,"mean":-1033.396667,"std":6.277133,"elapsed":0.115449}
BEAM_LOG:{"turn":88,"beam_width_limit":3900,"beam_width":3900,"candidates":12769,"hash_dedup":3505,"pruned":2820,"unique_parents":2478,"best":-1075,"worst":-1037,"mean":-1045.067179,"std":6.294246,"elapsed":0.116928}
BEAM_LOG:{"turn":89,"beam_width_limit":3900,"beam_width":3900,"candidates":12873,"hash_dedup":3675,"pruned":2797,"unique_parents":2494,"best":-1088,"worst":-1049,"mean":-1056.794103,"std":6.302496,"elapsed":0.118402}
BEAM_LOG:{"turn":90,"beam_width_limit":3900,"beam_width":3900,"candidates":12850,"hash_dedup":3775,"pruned":2746,"unique_parents":2500,"best":-1101,"worst":-1061,"mean":-1068.595128,"std":6.177912,"elapsed":0.119853}
BEAM_LOG:{"turn":91,"beam_width_limit":3900,"beam_width":3900,"candidates":12816,"hash_dedup":3797,"pruned":2732,"unique_parents":2515,"best":-1113,"worst":-1073,"mean":-1080.321026,"std":6.072259,"elapsed":0.121324}
BEAM_LOG:{"turn":92,"beam_width_limit":3900,"beam_width":3900,"candidates":12849,"hash_dedup":3858,"pruned":2714,"unique_parents":2499,"best":-1120,"worst":-1084,"mean":-1092.186410,"std":6.178446,"elapsed":0.122770}
BEAM_LOG:{"turn":93,"beam_width_limit":3900,"beam_width":3900,"candidates":12801,"hash_dedup":3867,"pruned":2635,"unique_parents":2462,"best":-1131,"worst":-1096,"mean":-1104.327949,"std":6.275094,"elapsed":0.124222}
BEAM_LOG:{"turn":94,"beam_width_limit":3900,"beam_width":3900,"candidates":12899,"hash_dedup":3900,"pruned":2702,"unique_parents":2470,"best":-1146,"worst":-1109,"mean":-1116.815897,"std":6.255250,"elapsed":0.125689}
BEAM_LOG:{"turn":95,"beam_width_limit":3900,"beam_width":3900,"candidates":12934,"hash_dedup":3960,"pruned":2681,"unique_parents":2481,"best":-1157,"worst":-1121,"mean":-1129.442051,"std":6.328768,"elapsed":0.127187}
BEAM_LOG:{"turn":96,"beam_width_limit":3900,"beam_width":3900,"candidates":12865,"hash_dedup":3900,"pruned":2605,"unique_parents":2481,"best":-1172,"worst":-1134,"mean":-1141.883077,"std":6.282019,"elapsed":0.128811}
BEAM_LOG:{"turn":97,"beam_width_limit":3900,"beam_width":3900,"candidates":12836,"hash_dedup":3852,"pruned":2628,"unique_parents":2524,"best":-1183,"worst":-1146,"mean":-1154.300000,"std":6.128433,"elapsed":0.130280}
BEAM_LOG:{"turn":98,"beam_width_limit":3900,"beam_width":3900,"candidates":12854,"hash_dedup":3929,"pruned":2657,"unique_parents":2529,"best":-1194,"worst":-1159,"mean":-1166.797179,"std":6.146305,"elapsed":0.131742}
BEAM_LOG:{"turn":99,"beam_width_limit":3900,"beam_width":3900,"candidates":12856,"hash_dedup":3879,"pruned":2666,"unique_parents":2502,"best":-1207,"worst":-1171,"mean":-1179.225128,"std":5.970490,"elapsed":0.133208}
BEAM_LOG:{"turn":100,"beam_width_limit":3900,"beam_width":3900,"candidates":12885,"hash_dedup":3731,"pruned":2842,"unique_parents":2503,"best":-1218,"worst":-1184,"mean":-1191.657436,"std":5.678397,"elapsed":0.134757}
BEAM_LOG:{"turn":101,"beam_width_limit":3900,"beam_width":3900,"candidates":12997,"hash_dedup":3767,"pruned":2905,"unique_parents":2497,"best":-1229,"worst":-1196,"mean":-1203.945641,"std":5.678219,"elapsed":0.136297}
BEAM_LOG:{"turn":102,"beam_width_limit":3900,"beam_width":3900,"candidates":13106,"hash_dedup":3702,"pruned":3041,"unique_parents":2499,"best":-1239,"worst":-1209,"mean":-1216.174615,"std":5.777767,"elapsed":0.137827}
